PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,1,0,25,astral-multi,0.010309
10000000,1E-10,1,0,25,astral-multi-w-true,0.010309
10000000,1E-10,1,0,25,apro,0.010309
10000000,1E-10,1,0,25,apro-w-true,0.010309
10000000,1E-10,1,0,25,apro-v2,0.010309
10000000,1E-10,1,0,25,duptree,0.010309
10000000,1E-10,1,0,25,mulrf,0.010309
10000000,1E-10,1,0,25,stag,NA
10000000,1E-10,1,0,50,astral-multi,0
10000000,1E-10,1,0,50,astral-multi-w-true,0
10000000,1E-10,1,0,50,apro,0
10000000,1E-10,1,0,50,apro-w-true,0
10000000,1E-10,1,0,50,apro-v2,0
10000000,1E-10,1,0,50,duptree,0
10000000,1E-10,1,0,50,mulrf,0
10000000,1E-10,1,0,50,stag,NA
10000000,1E-10,1,0,100,astral-multi,0
10000000,1E-10,1,0,100,astral-multi-w-true,0
10000000,1E-10,1,0,100,apro,0
10000000,1E-10,1,0,100,apro-w-true,0
10000000,1E-10,1,0,100,apro-v2,0
10000000,1E-10,1,0,100,duptree,0
10000000,1E-10,1,0,100,mulrf,0
10000000,1E-10,1,0,100,stag,0.030928
10000000,1E-10,1,0,500,astral-multi,0
10000000,1E-10,1,0,500,astral-multi-w-true,0
10000000,1E-10,1,0,500,apro,0
10000000,1E-10,1,0,500,apro-w-true,0
10000000,1E-10,1,0,500,apro-v2,0
10000000,1E-10,1,0,500,duptree,0
10000000,1E-10,1,0,500,mulrf,0
10000000,1E-10,1,0,500,stag,0.010309
10000000,1E-10,1,25,25,astral-multi,0.257732
10000000,1E-10,1,25,25,astral-multi-w-true,0.195876
10000000,1E-10,1,25,25,apro,0.216495
10000000,1E-10,1,25,25,apro-w-true,0.206186
10000000,1E-10,1,25,25,apro-v2,0.206186
10000000,1E-10,1,25,25,duptree,0.731959
10000000,1E-10,1,25,25,mulrf,0.206186
10000000,1E-10,1,25,25,stag,NA
10000000,1E-10,1,25,50,astral-multi,0.298969
10000000,1E-10,1,25,50,astral-multi-w-true,0.134021
10000000,1E-10,1,25,50,apro,0.134021
10000000,1E-10,1,25,50,apro-w-true,0.134021
10000000,1E-10,1,25,50,apro-v2,0.134021
10000000,1E-10,1,25,50,duptree,0.556701
10000000,1E-10,1,25,50,mulrf,0.164948
10000000,1E-10,1,25,50,stag,NA
10000000,1E-10,1,25,100,astral-multi,0.195876
10000000,1E-10,1,25,100,astral-multi-w-true,0.103093
10000000,1E-10,1,25,100,apro,0.123711
10000000,1E-10,1,25,100,apro-w-true,0.123711
10000000,1E-10,1,25,100,apro-v2,0.123711
10000000,1E-10,1,25,100,duptree,0.360825
10000000,1E-10,1,25,100,mulrf,0.092784
10000000,1E-10,1,25,100,stag,0.628866
10000000,1E-10,1,25,500,astral-multi,0.072165
10000000,1E-10,1,25,500,astral-multi-w-true,0.051546
10000000,1E-10,1,25,500,apro,0.041237
10000000,1E-10,1,25,500,apro-w-true,0.041237
10000000,1E-10,1,25,500,apro-v2,0.041237
10000000,1E-10,1,25,500,duptree,0.216495
10000000,1E-10,1,25,500,mulrf,0.030928
10000000,1E-10,1,25,500,stag,0.365979
10000000,1E-10,1,50,25,astral-multi,0.164948
10000000,1E-10,1,50,25,astral-multi-w-true,0.103093
10000000,1E-10,1,50,25,apro,0.113402
10000000,1E-10,1,50,25,apro-w-true,0.113402
10000000,1E-10,1,50,25,apro-v2,0.113402
10000000,1E-10,1,50,25,duptree,0.350515
10000000,1E-10,1,50,25,mulrf,0.061856
10000000,1E-10,1,50,25,stag,NA
10000000,1E-10,1,50,50,astral-multi,0.082474
10000000,1E-10,1,50,50,astral-multi-w-true,0.051546
10000000,1E-10,1,50,50,apro,0.092784
10000000,1E-10,1,50,50,apro-w-true,0.092784
10000000,1E-10,1,50,50,apro-v2,0.092784
10000000,1E-10,1,50,50,duptree,0.216495
10000000,1E-10,1,50,50,mulrf,0.051546
10000000,1E-10,1,50,50,stag,NA
10000000,1E-10,1,50,100,astral-multi,0.082474
10000000,1E-10,1,50,100,astral-multi-w-true,0.051546
10000000,1E-10,1,50,100,apro,0.030928
